Gender,Age,Highest Education,CM1,CM2,CM3,PU1,PU2,PU3,PE1,PE2,PE3,SC1,SC2,SC3,CT1,CT3,CT2,CT4,CE1,CE2,CE3,L1,L2,L3,L4,L5,CIU1,CIU2,CIU3
Female,16-20,Post Graduation,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,agree,agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Male,16-20,Graduation,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,agree,agree,agree,agree,Strongly agree,agree,agree,Strongly agree,disagree,Neither agree nor disagree,Neither agree nor disagree
Male,21-26,Graduation,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,agree,agree,agree,Strongly agree,Strongly agree,Strongly agree
Female,16-20,Post Graduation,Strongly Disagree,Strongly Disagree,Strongly Disagree,agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,agree,agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,agree,agree,agree,agree,agree,agree,agree,Neither agree nor disagree,agree,agree,agree
Female,21-26,Post Graduation,Neither agree nor disagree,agree,Neither agree nor disagree,disagree,Neither agree nor disagree,disagree,agree,Neither agree nor disagree,agree,Neither agree nor disagree,agree,Neither agree nor disagree,Strongly agree,disagree,agree,Neither agree nor disagree,agree,agree,agree,Strongly agree,agree,Strongly agree,Strongly agree,agree,Strongly agree,Strongly agree,Strongly agree
Female,16-20,Post Graduation,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,Strongly agree,agree,agree,agree,agree,agree,agree,agree,Neither agree nor disagree,agree,agree,agree,disagree,Strongly agree,Strongly agree,Strongly agree
Female,16-20,Post Graduation,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,Strongly agree,Neither agree nor disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree
Male,16-20,Graduation,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,Neither agree nor disagree,agree,agree,agree,agree,agree,agree,agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,agree,agree,agree,Strongly agree,Strongly agree,Strongly agree
Female,16-20,Post Graduation,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,Strongly agree,agree,agree,agree,agree,agree,Strongly agree,agree,agree,agree,agree,agree,agree,agree,disagree,agree,agree
Female,21-26,Post Graduation,agree,agree,agree,agree,Strongly agree,Neither agree nor disagree,agree,agree,agree,agree,Neither agree nor disagree,Neither agree nor disagree,agree,agree,agree,agree,agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,agree,agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree
Male,16-20,Graduation,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,disagree,agree,agree
Female,16-20,Post Graduation,disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,disagree,Neither agree nor disagree,agree,Neither agree nor disagree,agree,Neither agree nor disagree,Neither agree nor disagree,agree,disagree,Neither agree nor disagree,agree,Neither agree nor disagree,agree,agree,agree,agree,agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Female,16-20,Post Graduation,agree,Neither agree nor disagree,Neither agree nor disagree,agree,agree,disagree,agree,agree,agree,Neither agree nor disagree,disagree,agree,agree,agree,agree,agree,Strongly agree,agree,agree,agree,agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree
Male,21-26,Graduation,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,agree,agree,agree,agree,disagree,Strongly agree,Strongly agree
Male,16-20,Graduation,agree,Neither agree nor disagree,Neither agree nor disagree,agree,agree,disagree,agree,agree,agree,Neither agree nor disagree,disagree,agree,agree,agree,agree,agree,disagree,agree,agree,agree,agree,Strongly agree,Strongly agree,agree,Strongly agree,Strongly agree,Strongly agree
Female,16-20,Post Graduation,agree,agree,agree,Strongly agree,Strongly agree,disagree,agree,agree,agree,agree,Strongly agree,Neither agree nor disagree,agree,agree,agree,agree,agree,agree,agree,Neither agree nor disagree,agree,Strongly agree,Strongly agree,Strongly agree,disagree,agree,agree
Female,16-20,Post Graduation,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,Strongly Disagree,disagree,agree,agree,agree,Strongly agree,Strongly agree,agree,Strongly agree,Strongly agree,Strongly agree
Male,21-26,Graduation,agree,Neither agree nor disagree,agree,Neither agree nor disagree,agree,Neither agree nor disagree,agree,agree,agree,agree,Neither agree nor disagree,agree,Neither agree nor disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,Neither agree nor disagree,disagree,Strongly agree,Strongly agree
Female,16-20,Post Graduation,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,Strongly agree,agree,agree,agree,agree,agree,agree,Strongly agree,agree,agree,agree,agree,agree,Strongly agree,Strongly agree,Strongly agree
Female,16-20,Post Graduation,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,Neither agree nor disagree,agree,agree,agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree
Male,16-20,Graduation,agree,agree,agree,agree,agree,agree,Neither agree nor disagree,agree,agree,agree,agree,agree,agree,agree,Neither agree nor disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,disagree,disagree,disagree
Female,16-20,Post Graduation,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,Strongly agree,agree,agree,agree,agree,agree,Strongly agree,Strongly Disagree,agree,agree,agree,Strongly agree,Strongly agree,agree,disagree,Strongly agree,Strongly agree
Male,16-20,Graduation,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,Neither agree nor disagree,disagree,Strongly agree,agree,agree,agree,agree,agree,agree,agree,agree
Female,16-20,Post Graduation,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,Strongly agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,disagree,disagree,disagree
Male,16-20,Graduation,agree,agree,disagree,agree,agree,agree,agree,Strongly agree,agree,disagree,agree,Strongly agree,Strongly agree,agree,agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,disagree,Strongly agree,Strongly agree,Strongly agree
Male,16-20,Graduation,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,Strongly agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,disagree,agree,agree
Male,16-20,Graduation,agree,Neither agree nor disagree,agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,agree,agree,agree,agree,Neither agree nor disagree,Neither agree nor disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree
Male,16-20,Graduation,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,Strongly Disagree,Strongly Disagree,agree,agree,agree,agree,agree,agree,Strongly Disagree,disagree,disagree
Female,16-20,Post Graduation,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,Strongly Disagree,Strongly agree,Strongly agree
Male,21-26,Graduation,agree,agree,agree,Strongly agree,agree,agree,agree,agree,agree,agree,Strongly agree,agree,agree,agree,agree,agree,agree,Neither agree nor disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree
Female,16-20,Post Graduation,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,Strongly agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,Strongly agree,Strongly agree,agree,disagree,Strongly agree,Strongly agree
Female,16-20,Post Graduation,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,Neither agree nor disagree,agree,Strongly agree,Strongly agree,Strongly agree,agree,agree,agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Male,21-26,Graduation,agree,agree,agree,Strongly agree,agree,agree,agree,agree,agree,agree,Strongly agree,agree,agree,agree,agree,agree,agree,disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,agree,Strongly Disagree,Strongly agree,Strongly agree
Female,16-20,Post Graduation,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,agree,agree,agree,Strongly agree,Strongly agree,Strongly agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,Strongly agree,disagree,Strongly agree,Strongly agree
Male,16-20,Graduation,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,disagree,disagree,agree,agree,agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree
Female,21-26,Post Graduation,agree,agree,agree,agree,agree,agree,Strongly agree,Strongly agree,Strongly agree,agree,agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,disagree,agree,agree,agree,agree,Strongly agree,Strongly agree,agree,Strongly agree,Strongly agree,Strongly agree
Female,16-20,Post Graduation,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,Strongly agree,Neither agree nor disagree,agree,agree,agree,agree,agree,agree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree
Male,16-20,Graduation,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,Strongly agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,Strongly agree,Strongly agree,Strongly agree
Male,16-20,Graduation,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,agree,agree,agree,disagree,Strongly agree,disagree
Male,16-20,Post Graduation,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,Strongly agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,Strongly Disagree,Strongly agree,Strongly agree
Male,21-26,Post Graduation,agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,agree,agree,Neither agree nor disagree,agree,Neither agree nor disagree,Strongly agree,Strongly agree,agree,Neither agree nor disagree,Neither agree nor disagree,disagree
